timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2019-11-22,53608.10812000,54060.64104000,53531.43264000,53906.37644000,7627.79000000,7692.18000000,7616.88000000,7670.23000000,2832.01191400,2832.01191400
2019-11-21,56916.67968000,57170.88244000,52710.00000000,53607.75672000,8098.56000000,8134.73000000,7500.00000000,7627.74000000,58418.78026100,58418.78026100
2019-11-20,57164.55724000,58081.43012000,56493.87520000,56912.81428000,8133.83000000,8264.29000000,8038.40000000,8098.01000000,32466.23098000,32466.23098000
2019-11-19,57534.72200000,57760.53164000,56245.08400000,57163.22192000,8186.50000000,8218.63000000,8003.00000000,8133.64000000,43556.06102500,43556.06102500
2019-11-18,59758.17036000,59762.73856000,56645.68000000,57539.43076000,8502.87000000,8503.52000000,8060.00000000,8187.17000000,43017.69094000,43017.69094000
2019-11-17,59672.92072000,60686.78000000,58688.57904000,59754.86720000,8490.74000000,8635.00000000,8350.68000000,8502.40000000,27009.03708200,27009.03708200
2019-11-16,59538.54536000,60040.20400000,59035.20000000,59674.88856000,8471.62000000,8543.00000000,8400.00000000,8491.02000000,20902.29975200,20902.29975200
2019-11-15,60766.75864000,61776.12000000,59035.20000000,59539.31844000,8646.38000000,8790.00000000,8400.00000000,8471.73000000,46087.41775100,46087.41775100
2019-11-14,61688.55112000,61846.40000000,60318.51280000,60768.86704000,8777.54000000,8800.00000000,8582.60000000,8646.68000000,33468.46896100,33468.46896100
2019-11-13,62000.38348000,62162.58972000,61157.65600000,61685.59936000,8821.91000000,8844.99000000,8702.00000000,8777.12000000,26810.11691800,26810.11691800
2019-11-12,61378.05408000,62464.86400000,60213.09280000,62000.59432000,8733.36000000,8888.00000000,8567.60000000,8821.94000000,40366.62947100,40366.62947100
2019-11-11,63534.24448000,63760.26496000,60572.08304000,61377.42156000,9040.16000000,9072.32000000,8618.68000000,8733.27000000,44888.05354500,44888.05354500
2019-11-10,61910.91704000,64286.45132000,61495.00000000,63529.39516000,8809.18000000,9147.19000000,8750.00000000,9039.47000000,34422.02979700,34422.02979700
2019-11-09,61661.84472000,62408.64000000,61318.45664000,61912.53348000,8773.74000000,8880.00000000,8724.88000000,8809.41000000,29469.48140500,29469.48140500
